Palabra	Lema	POS	Feats	Significado	Glosa	1267	925	1060
niichi		VERB		ver				
níitu		NOUN		nopal				
nínaa				maduro				
ninchii				cocido				
nini		NUM	NumType=Card	nueve				
nínu	nínu	NOUN		maíz				
nioʼoo		NOUN		suelo				
nnintubii				descompuesto				
nóʼo		NOUN		maestro, adobe				
ntu		NOUN		atole				
nukñoʼö		NOUN		brasa				
nukueʼë				todo				
nukyanti		NOUN		guanábana				
nukyoo		NOUN		membrillo				
nuna		NOUN		pitalla				
nuni		NOUN		agua				
núni		NOUN		frijol				
nunñoʼö		NOUN		mar				
nunti		NOUN		delito				
nutbee		NOUN		arete				
nutiukuu		NOUN		semilla				
nutnoo		NOUN		ojo				
nutñoo		NOUN		zarzamora				
nuttoʼo		NOUN		dedo				
nutyákuu		NOUN		cebolla				
nuuku		NOUN		chirimoya				
núuku		NOUN		vara				
nuutii		NOUN		bolita				
obe		NUM		dos				
ráti				rasposo				
uu	uu	PRON	PronType=Prs	yo	1SG			
un	uu	PRON	PronType=Prs	yo	1SG			
ú	uu	PRON	PronType=Prs	yo	1SG			
tuʼú		NOUN		pollo				
tuʼu		NOUN		pollo				
yaʼa		VERB		duele				
yaʼa		NOUN		dolor				
yaʼa		VERB		amo	?-amar-?			
yaʼaa		NOUN		jícara				
yáʼa				húmedo				
yââ		NOUN		barranco				
yàaku		NOUN		mosquito				
yába		NOUN		rocas planas				
yába		NOUN		piedra grande				
yába		NOUN		memela				
yábaa		NOUN		arador				
yabi		ADV		anoche				
yábi		VERB		le hablé				
yachi		NOUN		masa				
yada		NOUN		vestido				
yada		NOUN		pájaro				
yadi				dulce				
yadnuni		NOUN		pato				
yadyeeko		NOUN		codorniz				
yagii				duele				
yaka		NOUN		pescado				
yakaa		NOUN		ocote				
yaku				alto				
yáku		NOUN		iglesia				
yàku				apestoso				
yama		NOUN		zacate				
yami		NOUN		humo				
yàna		NOUN		red				
yánaa		NOUN		mi perro				
ñana		NOUN		perro				
yana		NOUN		perro				
yat kúiyu				sause				
yata		NOUN		hierba				
yata		NOUN		paloma				
yata		NOUN		pichón				
yáta		NOUN		tlacuache				
yati				chindete				
yáti				simple				
yatneachea		NOUN		escoba de vara				
yeabea				bonito(a)				
yéabea		NOUN		mariposa				
yoʼo				culluchi				
yojinu				contento(a)				
ñojínu				contento(a)				
yoko		NOUN		tenate para cargar				
yuku		NOUN		tenate para cargar				
yoo				amargo				
yoo				brazada				
yoo kastila		NOUN		sávila				
yubi				tejón				
yúbi		NOUN		mapache				
yuchii		NOUN		puño				
yuchmee		NOUN		cerebro				
yudi		NOUN		rata				
yúdi		NOUN		elote				
yudii				arrugado				
yudnoo		NOUN		barba				
yudu		NOUN		cabello				
yuduu				plano (lugar)				
yuduu		NOUN		caballo				
yúduu		NOUN		caballo				
yukjaʼa		NOUN		chilacayota				
yúku		NOUN		lagartija				
yúkuu		NOUN		calabaza				
yuna		NOUN		zorro				
yúni		NOUN		camino				
yuntu		NOUN		tortilla				
yúntu		NOUN		tabla				
yúnuu				tierno				
yuta		NOUN		carne				
yuti		NOUN		costra				
yuudu		NOUN		metate				
yuuna		NOUN		aire				
yuuni		NOUN		pasto				
yuunu		NOUN		cigarro				
takoon	takoo	PRON	PronType=Prs	ella	3SG.FEM			
takon	takoo	PRON	PronType=Prs	ella	3SG.FEM			
takoo	takoo	PRON	PronType=Prs	ella	3SG.FEM			
sakoon	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sakon	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sakó	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sako	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sakoo	sakoo	PRON	PronType=Prs	él	3SG.MSC			
insen	insen	PRON	PronType=Prs	ustedes	2PL			
mozo		NOUN		mozo				
nóyota		NOUN		años				
Kukoo		PROPN		Tepeuxila	LOC			
Jibakun		PROPN		Cuicatlán	LOC			
Jibaku		PROPN		Cuicatlán	LOC			
